id,commodity,unit,hyvee_everyday,hyvee_ad,hyvee_ad_from,hyvee_ad_to,hyvee_shown,aldi_everyday,aldi_ad,aldi_ad_from,aldi_ad_to,aldi_shown,familyfare_everyday,familyfare_ad,familyfare_ad_from,familyfare_ad_to,familyfare_shown,fareway_everyday,fareway_ad,fareway_ad_from,fareway_ad_to,fareway_shown,bakers_everyday,bakers_ad,bakers_ad_from,bakers_ad_to,bakers_shown,sams_everyday,sams_ad,sams_ad_from,sams_ad_to,sams_shown,walmart_everyday,walmart_ad,walmart_ad_from,walmart_ad_to,walmart_shown
cinnamon-stick,Cinnamon Sticks,oz,,,,,,,,,,,1.33,,,,1.33,,,,,,4.3267,7.32,2026-08-19,2026-09-30,4.3267,1.0457,,,,1.0457,4.2933,,,,4.2933
ground-cumin,Ground Cumin,oz,0.705,,,,0.705,0.495,,,,0.495,1.145,,,,1.145,0.57,,,,0.57,1.1633,,,,1.1633,0.5612,,,,0.5612,0.4321,,,,0.4321
salt,Table Salt,oz,0.0608,,,,0.0608,0.0304,,,,0.0304,0.0381,,,,0.0381,0.0842,0.0723,2026-08-09,2026-09-08,0.0723,0.0381,,,,0.0381,0.0372,,,,0.0372,0.0362,,,,0.0362
ground-cinnamon,Ground Cinnamon,oz,0.5,,,,0.5,0.4177,,,,0.4177,0.676,,,,0.676,0.9684,,,,0.9684,0.6443,2.392,2026-08-19,2026-09-30,0.6443,0.4433,,,,0.4433,0.3629,,,,0.3629
curry-powder,Curry Powder,oz,3.9943,,,,3.9943,,,,,,1.395,,,,1.395,2.8514,,,,2.8514,1.69,,,,1.69,0.4989,,,,0.4989,0.7669,,,,0.7669
onion-powder,Onion Powder,oz,0.4545,,,,0.4545,0.3779,,,,0.3779,0.7511,,,,0.7511,0.42,,,,0.42,0.7143,,,,0.7143,0.4276,,,,0.4276,0.3323,,,,0.3323
hot-cocoa,Hot Cocoa Mix,each,0.239,,,,0.239,,,,,,0.369,,,,0.369,,,,,,0.333,,,,0.333,0.1956,,,,0.1956,0.138,,,,0.138
dried-arbol-chiles,Dried Arbol Chiles,oz,5.98,,,,5.98,,,,,,0.83,,,,0.83,,,,,,,,,,,0.4975,,,,0.4975,,,,,
razors,Razors (disposable),each,1.9975,,,,1.9975,0.7475,,,,0.7475,0.3317,,,,0.3317,2.6633,2.3233,2026-08-09,2026-09-08,2.3233,0.2245,1.3725,2026-08-08,2026-09-02,0.2245,0.2398,,,,0.2398,0.1633,,,,0.1633
sparkling-water,Sparkling Water,floz,0.045,,,,0.045,0.0234,,,,0.0234,0.0818,,,,0.0818,0.0441,0.0296,2026-08-11,2026-09-10,0.0296,0.0296,0.0499,2026-08-20,2026-09-02,0.0296,0.0269,,,,0.0269,0.0249,,,,0.0249
hot-dog-buns,Hot Dog Buns,each,0.2488,,,,0.2488,,,,,,0.5362,,,,0.5362,0.185,0.4362,2026-08-01,2026-08-31,0.185,0.1862,0.3113,2026-07-15,2026-09-09,0.1862,0.2425,,,,0.2425,0.185,,,,0.185
dried-oregano,Oregano (dried),oz,0.9307,,,,0.9307,1.32,,,,1.32,2.92,,,,2.92,1.8164,1.4527,2026-08-09,2026-09-08,1.4527,1.6959,7.48,2026-08-19,2026-09-30,1.6959,1.0873,,,,1.0873,0.945,,,,0.945
block-cheese,Block Cheese,oz,0.2809,,,,0.2809,0.2188,,,,0.2188,,,,,,,,,,,0.2306,,,,0.2306,0.1762,,,,0.1762,0.2175,,,,0.2175
sandwich-bags,Sandwich Bags,each,0.034,,,,0.034,0.016,,,,0.016,0.0186,,,,0.0186,0.0596,0.0496,2026-08-11,2026-09-10,0.0496,0.0232,0.0444,2026-08-19,2026-09-09,0.0232,0.0168,,,,0.0168,0.0165,,,,0.0165
