oranges | Oranges | Fareway | Navel Orange | 1.4975/lb
pasta | Pasta (dry) | Hy-Vee | Hy-Vee Spaghetti | 0.066/oz
pasta | Pasta (dry) | Family Fare | Creamette Spaghetti 16 Oz | 0.0781/oz
pasta | Pasta (dry) | Baker's | Kroger Spaghetti | 0.0831/oz
pasta-sauce | Pasta Sauce (marinara) | Aldi | Reggano Tomato Basil Garlic Pasta Sauce | 0.0704/oz
pasta-sauce | Pasta Sauce (marinara) | Walmart | Great Value Traditional Pasta Sauce | 0.0725/oz
pasta-sauce | Pasta Sauce (marinara) | Hy-Vee | Hy-Vee Traditional Pasta Sauce | 0.0746/oz
pasta-sauce | Pasta Sauce (marinara) | Baker's | Kroger Marinara Pasta Sauce | 0.0765/oz
pasta-sauce | Pasta Sauce (marinara) | Fareway | Fareway Traditional Pasta Sauce | 0.0783/oz
pasta-sauce | Pasta Sauce (marinara) | Family Fare | Full Circle Market Pasta Sauce, Marinara 24 Oz | 0.1621/oz
peaches | Peaches | Aldi | Peaches, Bag | 1.745/lb
peaches | Peaches | Baker's | Fresh Southern Yellow Peach | 1.79/lb
peaches | Peaches | Walmart | Fresh Yellow Peaches, 2 lb Bag | 1.84/lb
peaches | Peaches | Fareway | Peach | 1.99/lb
peaches | Peaches | Hy-Vee | Moonlight peaches or nectarines, from California, $2.99 lb. | 2.99/lb
peaches | Peaches | Family Fare | Tree Ripened Yellow Flesh Peaches, Small | 2.99/lb
peanut-butter | Peanut Butter | Aldi | Peanut Delight Creamy Peanut Butter | 0.0988/oz
peanut-butter | Peanut Butter | Walmart | Great Value Creamy Peanut Butter, 40 oz | 0.0995/oz
peanut-butter | Peanut Butter | Baker's | Kroger Peanut Butter Creamy | 0.1014/oz
peanut-butter | Peanut Butter | Fareway | SKIPPY Peanut Butter, Creamy | 0.119/oz
peanut-butter | Peanut Butter | Family Fare | Creamy Reduced Salt & Sugar Peanut Butter | 0.1431/oz
peanut-butter | Peanut Butter | Hy-Vee | Hy-Vee Creamy Peanut Butter | 0.1675/oz
peanuts | Peanuts | Aldi | Southern Grove Dry Roasted Peanuts with Sea Salt | 0.1431/oz
peanuts | Peanuts | Walmart | Great Value Dry Roasted Peanuts | 0.1612/oz
peanuts | Peanuts | Fareway | Fareway Peanuts, Salted, Dry Roasted | 0.1869/oz
peanuts | Peanuts | Hy-Vee | Hy-Vee Dry Roasted Peanuts | 0.1869/oz
peanuts | Peanuts | Family Fare | Our Family Peanuts, Dry Roasted 16 Oz | 0.1869/oz
pears | Pears | Aldi | Anjou Pears, Bag | 1.2633/lb
pears | Pears | Fareway | Bartlett Pear | 1.77/lb
pears | Pears | Hy-Vee | Anjou Pears | 1.88/lb
pears | Pears | Walmart | Fresh Pears Bartlett Bulk | 2.48/lb
pears | Pears | Baker's | Kroger Fresh Bartlett Pears 2-Pound Bag | 2.645/lb
