frozen-pizza | Frozen Pizza | Walmart | Red Baron Four Cheese Classic Crust Frozen Pizza | 4.82/each
frozen-waffles | Frozen Waffles | Aldi | Breakfast Best Homestyle Waffles | 0.215/each
frozen-waffles | Frozen Waffles | Hy-Vee | Hy-Vee Buttermilk Waffles 10 Count | 0.25/each
frozen-waffles | Frozen Waffles | Fareway | Fareway 10 Pack Buttermilk Waffles | 0.277/each
frozen-waffles | Frozen Waffles | Walmart | Eggo Homestyle Waffles | 0.287/each
fruit-cups | Fruit Cups | Walmart | Great Value Mixed Fruits Variety Pack Cups | 0.6642/each
fruit-cups | Fruit Cups | Hy-Vee | Hy-Vee Mandarin Oranges in 100% Juice 4-4 oz Bowls | 0.695/each
fruit-punch | Fruit Punch | Walmart | Hawaiian Punch Fruit Juicy Red | 0.0252/floz
fruit-punch | Fruit Punch | Fareway | Hawaiian Punch Fruit Juicy Red | 0.0272/floz
fruit-punch | Fruit Punch | Aldi | Nature's Nectar Fruit Punch | 0.0303/floz
fruit-punch | Fruit Punch | Hy-Vee | Minute Maid Fruit Punch Juice Drink Carton | 0.0369/floz
fruit-snacks | Fruit Snacks | Walmart | Mott's Fruit Flavored Snacks Assorted Fruit Family Pack | 0.1742/each
fruit-snacks | Fruit Snacks | Hy-Vee | Hy-Vee Dinosaurs Fruit Snacks, 10-0.8 oz Pouches | 0.25/each
fruit-snacks | Fruit Snacks | Fareway | Welch's Strawberry Fruit Snacks | 0.329/each
furniture-polish | Furniture Polish / Dusting Spray | Fareway | Behold Furniture Polish, Lemon 12.5 oz | 0.2792/oz
furniture-polish | Furniture Polish / Dusting Spray | Sam's Club | Pledge Furniture Enhancing Polish Spray, Lemon, 3 ct., 29 oz. | 0.4317/oz
furniture-polish | Furniture Polish / Dusting Spray | Walmart | Pledge Expert Care Wood Polish, Lemon Enhancing, Aerosol, 9.7 oz | 0.499/oz
furniture-polish | Furniture Polish / Dusting Spray | Baker's | Kroger Lemon Scent Furniture Polish 9.7 oz | 0.566/oz
furniture-polish | Furniture Polish / Dusting Spray | Hy-Vee | Pledge Lemon Clean Furniture Spray 9.7 oz | 0.7206/oz
garlic | Garlic (fresh) | Aldi | Garlic, Package | 0.5633/each
garlic | Garlic (fresh) | Fareway | Spice World Fresh Garlic | 0.6633/each
garlic | Garlic (fresh) | Walmart | Garlic Bulb Fresh Whole | 0.72/each
garlic | Garlic (fresh) | Family Fare | Fresh Garlic | 0.79/each
garlic | Garlic (fresh) | Hy-Vee | Jumbo Garlic | 0.79/each
garlic | Garlic (fresh) | Baker's | Garlic | 0.89/each
garlic-bread | Garlic Bread (frozen) | Fareway | Fareway Garlic Bread | 3.99/each
garlic-bread | Garlic Bread (frozen) | Hy-Vee | Bellatoria ultra thin pizza or garlic bread, 11.81 to 19.41 oz., 2/ $10 | 5/each
garlic-powder | Garlic Powder | Aldi | Stonemill Garlic Powder 3.12 oz | 0.3173/oz
garlic-powder | Garlic Powder | Walmart | Great Value Garlic Powder, 3.4 oz | 0.3176/oz
garlic-powder | Garlic Powder | Fareway | Badia Spices Garlic Powder 10.5 oz | 0.38/oz
garlic-powder | Garlic Powder | Sam's Club | Member's Mark Garlic Powder, 22.5 oz. | 0.4436/oz
garlic-powder | Garlic Powder | Hy-Vee | That's Smart Garlic Powder 2.5 oz | 0.5/oz
garlic-powder | Garlic Powder | Family Fare | That's Smart! Garlic Powder | 0.556/oz
garlic-powder | Garlic Powder | Baker's | Smart Way Garlic Powder | 0.625/oz
gelatin | Gelatin (Jell-O) | Walmart | Winky Brand Gelatin Cups | 0.3867/each
gelatin | Gelatin (Jell-O) | Hy-Vee | Snack Pack Strawberry Flavored Juicy Gels Cups, 3.25 oz., 4-Count | 0.41/each
